assay_description,canonical_smiles,document_journal,document_year,molecule_chembl_id,record_id,target_organism,units,value
Antileishmanial activity against Leishmania infantum infected in primary peritoneal mouse macrophages by luciferase reporter gene assay,CC1(COCc2ccc(-c3ccc(OC(F)(F)F)cc3)cc2)CCn2cc([N+](=O)[O-])nc2O1,J Med Chem,2017.0,CHEMBL4067568,3027010,Leishmania infantum,uM,1.1
Antileishmanial activity against Leishmania infantum infected in primary peritoneal mouse macrophages by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(COCc1ccc(-c3ccc(OC(F)(F)F)cc3)cc1)CC2,J Med Chem,2017.0,CHEMBL4088804,3027009,Leishmania infantum,uM,0.4
Antileishmanial activity against Leishmania infantum infected in primary peritoneal mouse macrophages by luciferase reporter gene assay,CC1(COCc2ccc(-c3ccc(F)cc3)cc2)CCn2cc([N+](=O)[O-])nc2O1,J Med Chem,2017.0,CHEMBL4105166,3027008,Leishmania infantum,uM,1.8
Antileishmanial activity against Leishmania infantum infected in primary peritoneal mouse macrophages by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(COCc1ccc(-c3ccc(F)cc3)cc1)CC2,J Med Chem,2017.0,CHEMBL4080923,3027007,Leishmania infantum,uM,0.17
Antileishmanial activity against Leishmania infantum infected in primary peritoneal mouse macrophages by luciferase reporter gene assay,CC1(COCc2ccc(OC(F)(F)F)cc2)CCn2cc([N+](=O)[O-])nc2O1,J Med Chem,2017.0,CHEMBL4078471,3027004,Leishmania infantum,uM,0.3
Antileishmanial activity against Leishmania infantum infected in primary peritoneal mouse macrophages by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(COCc1ccc(OC(F)(F)F)cc1)CC2,J Med Chem,2017.0,CHEMBL4096501,3027003,Leishmania infantum,uM,0.12
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,CC1(COC(=O)N2CCN(c3ccc(F)cc3)CC2)CCn2cc([N+](=O)[O-])nc2O1,J Med Chem,2017.0,CHEMBL4100775,3027075,Leishmania donovani,uM,0.29
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,CC1(CN2CCN(C(=O)c3ccc(F)cc3)CC2)CCn2cc([N+](=O)[O-])nc2O1,J Med Chem,2017.0,CHEMBL4093069,3027073,Leishmania donovani,uM,2.8
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=C(c1ccc(F)cc1)N1CCN(CC2CCn3cc([N+](=O)[O-])nc3O2)CC1,J Med Chem,2017.0,CHEMBL4090204,3027072,Leishmania donovani,uM,4.8
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,CC1(CN2CCC(Oc3ccc(F)cc3)CC2)CCn2cc([N+](=O)[O-])nc2O1,J Med Chem,2017.0,CHEMBL4075505,3027071,Leishmania donovani,uM,0.22
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(CN1CCC(Oc3ccc(F)cc3)CC1)CC2,J Med Chem,2017.0,CHEMBL4086810,3027070,Leishmania donovani,uM,0.45
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,CC1(CN2CCC(c3ccc(F)cc3)CC2)CCn2cc([N+](=O)[O-])nc2O1,J Med Chem,2017.0,CHEMBL4104708,3027069,Leishmania donovani,uM,1.0
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(CN1CCC(c3ccc(F)cc3)CC1)CC2,J Med Chem,2017.0,CHEMBL4094536,3027068,Leishmania donovani,uM,0.88
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,CC1(CN2CCN(c3ccc(F)cc3)CC2)CCn2cc([N+](=O)[O-])nc2O1,J Med Chem,2017.0,CHEMBL4067069,3027067,Leishmania donovani,uM,0.7
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(CN1CCN(c3ccc(F)cc3)CC1)CC2,J Med Chem,2017.0,CHEMBL4068086,3027066,Leishmania donovani,uM,0.19
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(COc1cnc(-c3ccc(F)cc3)nc1)CC2,J Med Chem,2017.0,CHEMBL4089273,3027065,Leishmania donovani,uM,0.07
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,CC1(COc2ncc(-c3ccc(F)nc3)cn2)CCn2cc([N+](=O)[O-])nc2O1,J Med Chem,2017.0,CHEMBL4078957,3027064,Leishmania donovani,uM,1.3
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(COc1ncc(-c3ccc(F)nc3)cn1)CC2,J Med Chem,2017.0,CHEMBL4096974,3027063,Leishmania donovani,uM,0.53
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,CC1(COc2ncc(-c3ccc(F)cc3)cn2)CCn2cc([N+](=O)[O-])nc2O1,J Med Chem,2017.0,CHEMBL4060507,3027062,Leishmania donovani,uM,0.32
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(COc1ncc(-c3ccc(F)cc3)cn1)CC2,J Med Chem,2017.0,CHEMBL4088740,3027061,Leishmania donovani,uM,0.1
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(COc1cnc(-c3ccc(F)cc3)cn1)CC2,J Med Chem,2017.0,CHEMBL4074039,3027060,Leishmania donovani,uM,0.15
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(COc1ccc(-c3ccc(F)cc3)nn1)CC2,J Med Chem,2017.0,CHEMBL4100801,3027059,Leishmania donovani,uM,0.07
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(COc1cccc(-c3ccc(F)nc3F)n1)CC2,J Med Chem,2017.0,CHEMBL4093095,3027057,Leishmania donovani,uM,0.25
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(COc1ccc(-c3ccc(C(F)(F)F)nc3)nc1)CC2,J Med Chem,2017.0,CHEMBL4095518,3027054,Leishmania donovani,uM,0.07
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,CC1(COc2ccc(-c3ccc(F)nc3F)nc2)CCn2cc([N+](=O)[O-])nc2O1,J Med Chem,2017.0,CHEMBL4077631,3027053,Leishmania donovani,uM,0.11
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(COc1ccc(-c3ccc(F)nc3F)nc1)CC2,J Med Chem,2017.0,CHEMBL4097858,3027052,Leishmania donovani,uM,0.08
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,CC1(COc2ccc(-c3ccc(F)nc3)nc2)CCn2cc([N+](=O)[O-])nc2O1,J Med Chem,2017.0,CHEMBL4070741,3027051,Leishmania donovani,uM,0.09
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(COc1ccc(-c3ccc(F)nc3)nc1)CC2,J Med Chem,2017.0,CHEMBL4064281,3027050,Leishmania donovani,uM,0.09
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(COc1ccc(-c3ccc(C(F)(F)F)nc3)cn1)CC2,J Med Chem,2017.0,CHEMBL4085829,3027049,Leishmania donovani,uM,0.13
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,CC1(COc2ccc(-c3ccc(F)nc3)cn2)CCn2cc([N+](=O)[O-])nc2O1,J Med Chem,2017.0,CHEMBL4094481,3027046,Leishmania donovani,uM,0.22
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(COc1ccc(-c3ccc(F)nc3)cn1)CC2,J Med Chem,2017.0,CHEMBL4067001,3027045,Leishmania donovani,uM,0.27
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,CC1(COc2ccc(-c3ccc(F)cn3)cn2)CCn2cc([N+](=O)[O-])nc2O1,J Med Chem,2017.0,CHEMBL4086740,3027044,Leishmania donovani,uM,0.15
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(COc1ccc(-c3ccc(F)cn3)cn1)CC2,J Med Chem,2017.0,CHEMBL4104648,3027043,Leishmania donovani,uM,0.06
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(COc1cccc(-c3ccc(F)cc3F)n1)CC2,J Med Chem,2017.0,CHEMBL4086005,3027041,Leishmania donovani,uM,0.25
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(COc1cccc(-c3ccc(F)cc3)n1)CC2,J Med Chem,2017.0,CHEMBL4076868,3027039,Leishmania donovani,uM,0.31
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,CC1(COc2ccc(-c3ccc(OC(F)(F)F)cc3)nc2)CCn2cc([N+](=O)[O-])nc2O1,J Med Chem,2017.0,CHEMBL4065342,3027038,Leishmania donovani,uM,0.65
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(COc1ccc(-c3ccc(OC(F)(F)F)cc3)nc1)CC2,J Med Chem,2017.0,CHEMBL4091850,3027035,Leishmania donovani,uM,0.05
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,CC1(COc2ccc(-c3ccc(F)cc3F)nc2)CCn2cc([N+](=O)[O-])nc2O1,J Med Chem,2017.0,CHEMBL4075060,3027034,Leishmania donovani,uM,0.31
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(COc1ccc(-c3ccc(F)cc3F)nc1)CC2,J Med Chem,2017.0,CHEMBL4097101,3027033,Leishmania donovani,uM,0.02
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,CC1(COc2ccc(-c3ccc(F)cc3)nc2)CCn2cc([N+](=O)[O-])nc2O1,J Med Chem,2017.0,CHEMBL4060530,3027032,Leishmania donovani,uM,0.65
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)O[C@H](COc1ccc(-c3ccc(F)cc3)nc1)CC2,J Med Chem,2017.0,CHEMBL4082423,3027031,Leishmania donovani,uM,0.08
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)O[C@@H](COc1ccc(-c3ccc(F)cc3)nc1)CC2,J Med Chem,2017.0,CHEMBL4069220,3027030,Leishmania donovani,uM,0.03
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(COc1ccc(-c3ccc(F)cc3)nc1)CC2,J Med Chem,2017.0,CHEMBL4090270,3027029,Leishmania donovani,uM,0.06
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,CC1(COc2ccc(-c3ccc(OC(F)(F)F)cc3)cn2)CCn2cc([N+](=O)[O-])nc2O1,J Med Chem,2017.0,CHEMBL4079956,3027028,Leishmania donovani,uM,0.26
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(COc1ccc(-c3ccc(OC(F)(F)F)cc3)cn1)CC2,J Med Chem,2017.0,CHEMBL4097978,3027027,Leishmania donovani,uM,0.05
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(COc1ccc(-c3ccc(F)cc3F)cn1)CC2,J Med Chem,2017.0,CHEMBL4059495,3027025,Leishmania donovani,uM,0.07
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,CC1(COc2ccc(-c3ccc(F)cc3)cn2)CCn2cc([N+](=O)[O-])nc2O1,J Med Chem,2017.0,CHEMBL4095540,3027024,Leishmania donovani,uM,0.09
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(COc1ccc(-c3ccc(F)cc3)cn1)CC2,J Med Chem,2017.0,CHEMBL4068158,3027023,Leishmania donovani,uM,0.01
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,CC1(COc2ccc(-c3ccc(F)nc3)cc2)CCn2cc([N+](=O)[O-])nc2O1,J Med Chem,2017.0,CHEMBL4080919,3027022,Leishmania donovani,uM,0.12
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,CC1(COc2ccc(-c3ccc(OC(F)(F)F)cc3)cc2)CCn2cc([N+](=O)[O-])nc2O1,J Med Chem,2017.0,CHEMBL4104233,3027020,Leishmania donovani,uM,0.52
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(COc1ccc(-c3ccc(OC(F)(F)F)cc3)cc1)CC2,J Med Chem,2017.0,CHEMBL4086324,3027019,Leishmania donovani,uM,0.06
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,CC1(COc2ccc(-c3ccc(F)cc3)cc2)CCn2cc([N+](=O)[O-])nc2O1,J Med Chem,2017.0,CHEMBL4096496,3027018,Leishmania donovani,uM,0.2
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(COc1ccc(-c3ccc(F)cc3)cc1)CC2,J Med Chem,2017.0,CHEMBL4078466,3027017,Leishmania donovani,uM,0.01
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,CC1(COc2ccc(OCc3ccccc3)cc2)CCn2cc([N+](=O)[O-])nc2O1,J Med Chem,2017.0,CHEMBL4075169,3027016,Leishmania donovani,uM,0.12
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(COc1ccc(OCc3ccccc3)cc1)CC2,J Med Chem,2017.0,CHEMBL4101831,3027015,Leishmania donovani,uM,0.02
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,CC1(COc2ccc(OC(F)(F)F)cc2)CCn2cc([N+](=O)[O-])nc2O1,J Med Chem,2017.0,CHEMBL4066553,3027014,Leishmania donovani,uM,0.1
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(COc1ccc(OC(F)(F)F)cc1)CC2,J Med Chem,2017.0,CHEMBL4094088,3027013,Leishmania donovani,uM,0.04
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,C[C@@]1(COCc2ccc(-c3ccc(OC(F)(F)F)cc3)cc2)CCn2cc([N+](=O)[O-])nc2O1,J Med Chem,2017.0,CHEMBL4089732,3027012,Leishmania donovani,uM,1.3
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,C[C@]1(COCc2ccc(-c3ccc(OC(F)(F)F)cc3)cc2)CCn2cc([N+](=O)[O-])nc2O1,J Med Chem,2017.0,CHEMBL4061616,3027011,Leishmania donovani,uM,0.24
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,CC1(COCc2ccc(-c3ccc(OC(F)(F)F)cc3)cc2)CCn2cc([N+](=O)[O-])nc2O1,J Med Chem,2017.0,CHEMBL4067568,3027010,Leishmania donovani,uM,1.1
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(COCc1ccc(-c3ccc(OC(F)(F)F)cc3)cc1)CC2,J Med Chem,2017.0,CHEMBL4088804,3027009,Leishmania donovani,uM,0.19
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,CC1(COCc2ccc(-c3ccc(F)cc3)cc2)CCn2cc([N+](=O)[O-])nc2O1,J Med Chem,2017.0,CHEMBL4105166,3027008,Leishmania donovani,uM,0.22
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(COCc1ccc(-c3ccc(F)cc3)cc1)CC2,J Med Chem,2017.0,CHEMBL4080923,3027007,Leishmania donovani,uM,0.02
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,CC1(COCc2ccc(OCc3ccccc3)cc2)CCn2cc([N+](=O)[O-])nc2O1,J Med Chem,2017.0,CHEMBL4086329,3027006,Leishmania donovani,uM,0.28
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(COCc1ccc(OCc3ccccc3)cc1)CC2,J Med Chem,2017.0,CHEMBL4104236,3027005,Leishmania donovani,uM,0.05
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,CC1(COCc2ccc(OC(F)(F)F)cc2)CCn2cc([N+](=O)[O-])nc2O1,J Med Chem,2017.0,CHEMBL4078471,3027004,Leishmania donovani,uM,0.31
Antileishmanial activity against Leishmania donovani amastigotes infected in mouse J-774A.1 cells after 72 hrs by luciferase reporter gene assay,O=[N+]([O-])c1cn2c(n1)OC(COCc1ccc(OC(F)(F)F)cc1)CC2,J Med Chem,2017.0,CHEMBL4096501,3027003,Leishmania donovani,uM,0.03
Antiprotozoal activity against amastigote form of Leishmania donovani MHOM/ET/67/L82 after 72 hrs by Alamar Blue assay,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,J Nat Prod,2017.0,CHEMBL125,3027644,Leishmania donovani,uM,0.432
Inhibition of recombinant His/FLAG-tagged Leishmania infantum TryR dimerization assessed as dimer disruption after 1 hr by ELISA,CCCCC(NC(=O)[C@H](CCCCN)NC(=O)C(CCCC)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H]1CCCCNC(=O)CC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H]2CCCN2C(C)=O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CO)C(=O)N1)[C@@H](C)CC)C(N)=O,Eur J Med Chem,2017.0,CHEMBL4105040,3028353,Leishmania infantum,uM,9.9
Inhibition of recombinant Leishmania infantum TryR preincubated for 10 mins followed by T[S]2 substrate addition and measured after 1 hr in presence of NADPH,CCCCC(NC(=O)[C@H](CCCCN)NC(=O)C(CCCC)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H]1CCCCNC(=O)CC[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H]2CCCN2C(C)=O)[C@@H](C)CC)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](C(C)C)C(=O)N1)[C@@H](C)CC)C(N)=O,Eur J Med Chem,2017.0,CHEMBL4070159,3028354,Leishmania infantum,uM,5.3
Inhibition of recombinant Leishmania infantum TryR preincubated for 10 mins followed by T[S]2 substrate addition and measured after 1 hr in presence of NADPH,CCCCC(NC(=O)[C@H](CCCCN)NC(=O)C(CCCC)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H]1CCCCNC(=O)CC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H]2CCCN2C(C)=O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CO)C(=O)N1)[C@@H](C)CC)C(N)=O,Eur J Med Chem,2017.0,CHEMBL4105040,3028353,Leishmania infantum,uM,0.9
Inhibition of recombinant Leishmania infantum TryR preincubated for 10 mins followed by T[S]2 substrate addition and measured after 1 hr in presence of NADPH,CC[C@H](C)[C@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(C)=O)[C@@H](C)CC)[C@@H](C)CC)C(C)C)C(N)=O,Eur J Med Chem,2017.0,CHEMBL4080816,3028352,Leishmania infantum,uM,3.7
Inhibition of recombinant Leishmania infantum TryR preincubated for 10 mins followed by T[S]2 substrate addition and measured after 1 hr in presence of NADPH,CCCCC(NC(=O)[C@H](CCCCN)NC(=O)C(CCCC)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(C)=O)[C@@H](C)CC)[C@@H](C)CC)C(C)C)[C@@H](C)CC)C(N)=O,Eur J Med Chem,2017.0,CHEMBL4076896,3028351,Leishmania infantum,uM,1.2
Antileishmanial activity against Leishmania major MRHO/IR/75/ER amastigote forms infected in mouse J774A.1 cells after 60 hrs by giemsa-staining based light microscopic analysis,O/N=C1/c2ccccc2OC(c2ccc(Cl)cc2)C1n1ccnc1,Eur J Med Chem,2017.0,CHEMBL4083146,3028543,Leishmania major,uM,0.6
Antileishmanial activity against Leishmania mexicana MHOM/MX/95/NAN1 axenic amastigote forms after 96 hrs by uptiblue-based spectrofluorimetric analysis,CCn1cc(C(c2ccc(Cl)cc2Cl)n2ccnc2)c2cc(Br)ccc21,Eur J Med Chem,2017.0,CHEMBL4080068,3028545,Leishmania mexicana,uM,4.4
Antileishmanial activity against Leishmania mexicana MHOM/MX/95/NAN1 amastigote forms infected in Balb/c mouse peritoneal macrophages after 48 hrs by May-Grunwald-Giemsa staining-based assay,CCn1cc(C(c2ccc(Cl)cc2Cl)n2ccnc2)c2cc(Br)ccc21,Eur J Med Chem,2017.0,CHEMBL4080068,3028545,Leishmania mexicana,uM,1.0
Antileishmanial activity against Leishmania donovani MHOM/IN/80/Dd8 amastigote forms infected in mouse J774A.1 cells assessed as reduction in parasite infection after 72 hrs by luciferase reporter gene assay,Clc1cccc(CO/N=C2/c3cccc(Cl)c3CCC2Cn2ccnc2)c1,Eur J Med Chem,2017.0,CHEMBL4075361,3028541,Leishmania donovani,uM,2.32
Antileishmanial activity against Leishmania donovani MHOM/N/1983/AG83 promastigote forms after 8 days,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,Eur J Med Chem,2017.0,CHEMBL638,3028538,Leishmania donovani,uM,6.1
Antileishmanial activity against Leishmania donovani MHOM/N/1983/AG83 promastigote forms after 8 days,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,Eur J Med Chem,2017.0,CHEMBL75,3028533,Leishmania donovani,uM,0.55
Antileishmanial activity against Leishmania major MHOM/SN/74/Seidman promastigote forms after 8 days,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,Eur J Med Chem,2017.0,CHEMBL638,3028538,Leishmania major,uM,6.1
Antileishmanial activity against Leishmania major MHOM/SN/74/Seidman promastigote forms after 8 days,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,Eur J Med Chem,2017.0,CHEMBL75,3028533,Leishmania major,uM,0.55
Antileishmanial activity against Leishmania major LV39 Rho/SU/59/P promastigote forms harboring C14DM null mutant after 48 hrs,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,Eur J Med Chem,2017.0,CHEMBL64391,3028532,Leishmania major,uM,2.0
Antileishmanial activity against Leishmania major LV39 Rho/SU/59/P promastigote forms harboring c14dm-/+C14DM mutant after 48 hrs,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,Eur J Med Chem,2017.0,CHEMBL64391,3028532,Leishmania major,uM,0.4
Antileishmanial activity against wild type Leishmania major LV39 Rho/SU/59/P promastigote forms after 48 hrs,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,Eur J Med Chem,2017.0,CHEMBL64391,3028532,Leishmania major,uM,0.4
Antiprotozoal activity against Leishmania mexicana MHOM/MX/ISETGS incubated for 72 hrs by Neubauer chamber based cell counting method,COc1ccc2c(c1)c(CC(=O)Nc1ncc([N+](=O)[O-])s1)c(C)n2C(=O)c1ccc(Cl)cc1,Bioorg Med Chem Lett,2017.0,CHEMBL4084390,3030211,Leishmania mexicana,uM,6.77
